"household_id","income","carbon_emissions"
0,15418.280395373651,2.103133555242056
1,14341.823812306122,2.15152077652919
2,16296.33911912492,2.1284878520100574
3,16606.126442056637,2.4453648958053034
4,19613.295798287058,2.2932305747657615
5,18437.015772145955,2.5063350670893842
6,19990.705000528666,2.5478793922261485
7,18815.561982532137,2.1582422814672477
8,21389.456514286816,3.0705521203970805
9,21061.21886642946,2.928549922755728
10,25200.432348506583,3.744356177429086
11,24357.59342894897,3.6388473134706185
12,26635.12342497006,3.1467517155100984
13,23318.926459688297,3.1136308505790504
14,28641.416545250704,3.6915933097496385
15,24529.854853345914,3.2981158419118186
16,28249.009837032798,3.8582211367220873
17,27022.340916126708,3.391950120692449
18,28269.903717834608,3.2444265166765094
19,30166.704113315784,3.917121058892082
20,33653.54770844158,3.7517284447516213
21,31451.085471997394,4.106791169617447
22,32444.551869735333,3.6730498745610682
23,32830.48991538197,3.6158344856903115
24,31264.333061084057,3.6443141174486766
25,32023.556298111773,3.7921307660217174
26,37530.34957900034,5.171099881350255
27,37948.64377165638,4.511510259972174
28,40465.07389967056,5.6300261836019825
29,36853.47556207065,5.131357948310567
30,35672.72790745819,4.381272269181671
31,38047.33116964099,4.6233895693450515
32,43520.994974957954,6.072835754879046
33,40992.99771072067,5.160875475419836
34,41107.49805085283,4.5208175824927626
35,45572.39217440385,6.638615373933117
36,46554.828554122825,6.744383593670154
37,41436.398563552866,5.943485087977523
38,43325.13930840031,4.94930040796173
39,46254.88942323709,6.050294958245874
40,43660.37319475648,5.5022682865091035
41,47763.252983291946,5.378485050559915
42,50850.48258749005,6.04560665466166
43,46431.93641877851,6.640869313200955
44,53126.92039705312,6.445771268901275
45,47388.7389669324,5.778651234949906
46,50737.9847655279,7.029246618691654
47,48193.073791843264,6.118572342150392
48,50235.20037845683,5.587046044150384
49,49685.36244930487,6.828284878041161
50,54131.490757153115,6.6295676638185475
51,60401.7518904548,7.817500869008542
52,57129.793586034684,7.952645949072752
53,60386.653770996214,7.893215799766208
54,56693.71776985135,7.534942581300183
55,55395.53952561154,7.133774848376923
56,58082.52255288216,6.394897191213631
57,59436.21426831723,7.201531960260531
58,57048.818452678715,6.266970689216178
59,63209.53252835679,6.983835506133089
60,58566.95720047725,8.035317992011741
61,69912.6795321286,7.775818671731642
62,70542.69521811882,8.666252359465451
63,70345.53948592053,8.742727387804626
64,68989.4526257474,7.459076494033737
65,63602.858259569395,8.08983639873962
66,62789.85431745309,7.445222608691948
67,65575.8792896725,8.46438609374848
68,75427.55604233114,9.223003993296173
69,74793.47473740608,9.658635272013779
70,70733.70220384098,8.687658551154808
71,65058.77439789069,7.395642166294236
72,68838.38347711174,8.775062268572087
73,79211.84686510301,8.655000353071289
74,78968.9457665635,11.071967409150954
75,71101.54545099384,10.257324698954791
76,78998.49117979167,9.40090981001655
77,83131.11299232746,11.141767405343035
78,77631.23952803995,10.55871906168401
79,71745.39525458138,8.398823473388214
80,79158.29240654699,10.857890893166042
81,72655.72303766107,8.74321651978858
82,88027.78579889434,9.672146067794417
83,87912.94780785406,11.781115886066518
84,83393.16159479303,10.498670529255607
85,75439.95819498046,9.265645091323362
86,91174.97135428018,12.972307846101652
87,86056.7742422748,10.976137909634085
88,85737.80724754134,11.509008935265015
89,83018.1026549714,11.619208917310864
90,85476.26159422444,10.099408967663203
91,87691.701341754,11.693369715978633
92,88318.5843577224,10.635118595117566
93,92431.28644704573,11.14221182927651
94,91565.9203947812,12.172114806069144
95,83217.07165170436,10.914088009333218
96,86171.49110862415,11.863596570730193
97,83367.96839988876,9.33969535420166
98,98473.31875356482,13.791671112055347
99,94526.32574670669,12.61481333873273
