"field_name","year","metric","baseline","reform","high_ambition","delta_reform","delta_high_ambition","pct_delta_reform","pct_delta_high_ambition"
"fiscal_summary",2026,"balance",18508.930000000008,11431.889999999996,6461.729999999992,-7077.040000000012,-12047.200000000015,-38.23581373963816,-65.08858156576318
"fiscal_summary",2026,"cost",0,6586.86,10978.080000000005,6586.86,10978.080000000005,,
"fiscal_summary",2026,"cumulative_balance",18508.930000000008,11431.889999999996,6461.729999999992,-7077.040000000012,-12047.200000000015,-38.23581373963816,-65.08858156576318
"fiscal_summary",2026,"cumulative_cost",0,6586.86,10978.080000000005,6586.86,10978.080000000005,,
"fiscal_summary",2026,"cumulative_revenue",18508.930000000008,18018.749999999996,17439.809999999998,-490.1800000000112,-1069.12000000001,-2.648343259172794,-5.776238820936755
"fiscal_summary",2026,"revenue",18508.930000000008,18018.749999999996,17439.809999999998,-490.1800000000112,-1069.12000000001,-2.648343259172794,-5.776238820936755
"fiscal_summary",2027,"balance",18971.440000000002,12434.989999999998,8069.710000000005,-6536.450000000004,-10901.729999999998,-34.454158461350346,-57.46390363620261
"fiscal_summary",2027,"cost",0,6370.61,10617.74,6370.61,10617.74,,
"fiscal_summary",2027,"cumulative_balance",37480.37000000001,23866.879999999994,14531.439999999997,-13613.490000000016,-22948.930000000015,-36.32165317471522,-61.229198110904484
"fiscal_summary",2027,"cumulative_cost",0,12957.47,21595.820000000007,12957.47,21595.820000000007,,
"fiscal_summary",2027,"cumulative_revenue",37480.37000000001,36824.34999999999,36127.26,-656.0200000000186,-1353.1100000000079,-1.7503028918871892,-3.610183143869731
"fiscal_summary",2027,"revenue",18971.440000000002,18805.6,18687.450000000004,-165.84000000000378,-283.98999999999796,-0.8741560999059838,-1.4969343391961702
"fiscal_summary",2028,"balance",19767.75,13393.589999999997,10029.79,-6374.1600000000035,-9737.96,-32.245247941723285,-49.261853271110766
"fiscal_summary",2028,"cost",0,6172.460000000002,10287.329999999998,6172.460000000002,10287.329999999998,,
"fiscal_summary",2028,"cumulative_balance",57248.12000000001,37260.46999999999,24561.229999999996,-19987.650000000023,-32686.890000000014,-34.91407228743934,-57.09687933857044
"fiscal_summary",2028,"cumulative_cost",0,19129.93,31883.150000000005,19129.93,31883.150000000005,,
"fiscal_summary",2028,"cumulative_revenue",57248.12000000001,56390.399999999994,56444.380000000005,-857.7200000000157,-803.7400000000052,-1.4982500735395599,-1.403958767554297
"fiscal_summary",2028,"revenue",19767.75,19566.05,20317.12,-201.70000000000073,549.369999999999,-1.0203488004451733,2.779122560736548
